lattitude,longitude,time
49.6769,-60.2081,2022-10-12 19:36:55.420375
48.4194,-54.7493,2022-10-12 19:37:56.586794
46.8934,-49.5951,2022-10-12 19:38:57.753444
45.127,-44.763,2022-10-12 19:39:58.925791
43.1486,-40.2542,2022-10-12 19:41:00.098277
40.9668,-36.0249,2022-10-12 19:42:01.326379
38.6418,-32.124,2022-10-12 19:43:02.511085
36.1791,-28.4923,2022-10-12 19:44:03.679187
33.5986,-25.1034,2022-10-12 19:45:04.856037
30.9175,-21.9307,2022-10-12 19:46:06.026391
28.128,-18.9244,2022-10-12 19:47:07.211136
25.2884,-16.1084,2022-10-12 19:48:08.412090
22.3885,-13.4351,2022-10-12 19:49:09.583994
19.438,-10.8827,2022-10-12 19:50:10.759077
16.446,-8.4316,2022-10-12 19:51:11.932286
13.3957,-6.0444,2022-10-12 19:52:13.124165
10.3435,-3.7425,2022-10-12 19:53:14.367593
7.2719,-1.4903,2022-10-12 19:54:15.530285
4.1869,0.7274,2022-10-12 19:55:16.719972
1.0944,2.9254,2022-10-12 19:56:17.910532
-2.025,5.1361,2022-10-12 19:57:19.082121
-5.1153,7.3382,2022-10-12 19:58:20.250325
-8.196,9.5639,2022-10-12 19:59:21.431348
-11.2608,11.828,2022-10-12 20:00:22.594068
-14.3037,14.1461,2022-10-12 20:01:23.766826
-17.318,16.5345,2022-10-12 20:02:24.936688
-20.2961,19.0105,2022-10-12 20:03:26.107042
-23.2536,21.6143,2022-10-12 20:04:27.287856
-26.1333,24.324,2022-10-12 20:05:28.452979
-28.949,27.1819,2022-10-12 20:06:29.632789
-31.6887,30.2112,2022-10-12 20:07:30.798438
-34.3388,33.4371,2022-10-12 20:08:31.982789
-36.8837,36.8854,2022-10-12 20:09:33.153135
-39.3248,40.6143,2022-10-12 20:10:34.350250
-41.6021,44.5887,2022-10-12 20:11:35.542129
-43.7129,48.8609,2022-10-12 20:12:36.707878
-45.632,53.4478,2022-10-12 20:13:37.899628
-47.3322,58.3575,2022-10-12 20:14:39.068701
-46.696,119.1926,2022-10-12 20:25:31.234030
-44.9065,123.9773,2022-10-12 20:26:32.437000
-42.9088,128.441,2022-10-12 20:27:33.613506
-40.7293,132.5956,2022-10-12 20:28:34.795205
-38.3923,136.4611,2022-10-12 20:29:35.977612
-35.8992,140.0899,2022-10-12 20:30:37.156564
-33.31,143.4492,2022-10-12 20:31:38.322502
-30.6217,146.5964,2022-10-12 20:32:39.505151
-27.8495,149.5568,2022-10-12 20:33:40.693129
-25.0059,152.355,2022-10-12 20:34:41.873537
-22.1026,155.0136,2022-10-12 20:35:43.036620
-19.1248,157.5743,2022-10-12 20:36:44.203830
-16.1298,160.015,2022-10-12 20:37:45.427404
-13.1017,162.375,2022-10-12 20:38:46.607229
-10.0475,164.6714,2022-10-12 20:39:47.783810
-6.9738,166.9199,2022-10-12 20:40:48.959668
-3.8869,169.1359,2022-10-12 20:41:50.150597
-0.767,171.352,2022-10-12 20:42:51.320100
2.3289,173.5465,2022-10-12 20:43:52.491241
5.4208,175.7521,2022-10-12 20:44:53.664900
8.503,177.9832,2022-10-12 20:45:54.893160
11.5691,-179.7453,2022-10-12 20:46:56.151889
14.638,-177.3983,2022-10-12 20:47:57.340396
17.6526,-174.9975,2022-10-12 20:48:58.522027
20.6305,-172.5065,2022-10-12 20:49:59.699142
23.5632,-169.9065,2022-10-12 20:51:00.863466
26.4415,-167.1769,2022-10-12 20:52:02.042565
29.2774,-164.2715,2022-10-12 20:53:03.242430
32.0125,-161.2134,2022-10-12 20:54:04.446945
34.6561,-157.9548,2022-10-12 20:55:05.632196
37.1921,-154.4693,2022-10-12 20:56:06.802231
39.6024,-150.7301,2022-10-12 20:57:08.003532
41.8839,-146.6776,2022-10-12 20:58:09.187508
43.9759,-142.3551,2022-10-12 20:59:10.374951
45.872,-137.7144,2022-10-12 21:00:11.563091
47.5446,-132.7489,2022-10-12 21:01:12.752662
48.965,-127.4667,2022-10-12 21:02:13.935743
50.1056,-121.8926,2022-10-12 21:03:15.108608
50.9464,-116.0249,2022-10-12 21:04:16.285375
51.4535,-110.0265,2022-10-12 21:05:17.460036
51.6217,-103.9353,2022-10-12 21:06:18.648571
51.4465,-97.8447,2022-10-12 21:07:19.818888
50.9326,-91.8497,2022-10-12 21:08:21.007825
50.0853,-85.9866,2022-10-12 21:09:22.201515
48.9389,-80.4187,2022-10-12 21:10:23.423196
47.5133,-75.1434,2022-10-12 21:11:24.601254
45.8363,-70.1857,2022-10-12 21:12:25.787385
43.9366,-65.5527,2022-10-12 21:13:26.971048
41.8237,-61.2035,2022-10-12 21:14:28.156984
39.5577,-57.1919,2022-10-12 21:15:29.358742
37.1457,-53.459,2022-10-12 21:16:30.551177
34.6084,-49.9793,2022-10-12 21:17:31.729660
31.9641,-46.7261,2022-10-12 21:18:32.900871
29.2287,-43.6729,2022-10-12 21:19:34.062156
26.3928,-40.7715,2022-10-12 21:20:35.244382
23.5148,-38.0457,2022-10-12 21:21:36.417317
20.5824,-35.4487,2022-10-12 21:22:37.580477
17.6053,-32.9607,2022-10-12 21:23:38.747749
14.5915,-30.5624,2022-10-12 21:24:39.935984
-17.2924,-7.08,2022-10-12 21:35:14.707531
-20.271,-4.6047,2022-10-12 21:36:15.950389
-23.2053,-2.0233,2022-10-12 21:37:17.122947
-26.086,0.6841,2022-10-12 21:38:18.293159
-28.9256,3.5633,2022-10-12 21:39:19.459894
-31.6661,6.5912,2022-10-12 21:40:20.637066
-34.317,9.8153,2022-10-12 21:41:21.841442
-36.8629,13.2619,2022-10-12 21:42:23.024051
